Title,AvailableGlobally,ReleaseDate,HoursViewed
The Night Agent: Season 1,Yes,23-03-2023,"81,21,00,000"
Ginny & Georgia: Season 2,Yes,05-01-2023,"66,51,00,000"
The Glory: Season 1 // 더 글로리: 시즌 1,Yes,30-12-2022,"62,28,00,000"
Wednesday: Season 1,Yes,23-11-2022,"50,77,00,000"
Queen Charlotte: A Bridgerton Story,Yes,04-05-2023,"50,30,00,000"
You: Season 4,Yes,09-02-2023,"44,06,00,000"
La Reina del Sur: Season 3,No,30-12-2022,"42,96,00,000"
Outer Banks: Season 3,Yes,23-02-2023,"40,25,00,000"
Ginny & Georgia: Season 1,Yes,24-02-2021,"30,21,00,000"
FUBAR: Season 1,Yes,25-05-2023,"26,62,00,000"
Manifest: Season 4,Yes,04-11-2022,"26,26,00,000"
Kaleidoscope: Limited Series,Yes,01-01-2023,"25,25,00,000"
Firefly Lane: Season 2,Yes,02-12-2022,"25,15,00,000"
The Mother,Yes,12-05-2023,"24,99,00,000"
Physical: 100: Season 1 // 피지컬: 100: 시즌 1,Yes,24-01-2023,"23,50,00,000"
Crash Course in Romance: Limited Series // 일타 스캔들: 리미티드 시리즈,Yes,14-01-2023,"23,48,00,000"
Love Is Blind: Season 4,Yes,24-03-2023,"22,97,00,000"
BEEF: Season 1,Yes,06-04-2023,"22,11,00,000"
The Diplomat: Season 1,Yes,20-04-2023,"21,41,00,000"
Luther: The Fallen Sun,Yes,10-03-2023,"20,97,00,000"
Fake Profile: Season 1 // Perfil falso: Temporada 1,No,31-05-2023,"20,65,00,000"
Vikings: Valhalla: Season 2,Yes,12-01-2023,"20,55,00,000"
Extraction 2,Yes,16-06-2023,"20,18,00,000"
"XO, Kitty: Season 1",Yes,18-05-2023,"20,07,00,000"
Doctor Cha: Limited Series // 닥터 차정숙: 리미티드 시리즈,Yes,15-04-2023,"19,47,00,000"
Shadow and Bone: Season 2,Yes,16-03-2023,"19,29,00,000"
Outer Banks: Season 1,Yes,15-04-2020,"18,40,00,000"
Sweet Tooth: Season 2,Yes,27-04-2023,"18,23,00,000"
You People,Yes,27-01-2023,"18,18,00,000"
Perfect Match: Season 1,Yes,14-02-2023,"17,68,00,000"
Sex/Life: Season 2,Yes,02-03-2023,"17,55,00,000"
The Marked Heart: Season 2 // Pálpito: Temporada 2,Yes,19-04-2023,"17,43,00,000"
Murder Mystery 2,Yes,31-03-2023,"17,36,00,000"
The Surrogacy: Season 1 // Madre de alquiler: Temporada 1,No,14-06-2023,"17,24,00,000"
"Pablo Escobar, el patrón del mal: Season 1",Yes,,"17,01,00,000"
Never Have I Ever: Season 4,Yes,08-06-2023,"16,83,00,000"
Your Place or Mine,Yes,10-02-2023,"16,30,00,000"
Chiquititas (2013),No,,"16,20,00,000"
Emily in Paris: Season 3,Yes,21-12-2022,"16,11,00,000"
Alice in Borderland: Season 2 // 今際の国のアリス: シーズン2,Yes,22-12-2022,"15,76,00,000"
Alchemy of Souls: Part 1 // 환혼: 파트 1,Yes,18-06-2022,"15,53,00,000"
Outer Banks: Season 2,Yes,30-07-2021,"15,39,00,000"
New Amsterdam (2018): Season 1,No,,"15,30,00,000"
Til Money Do Us Part: Season 1 // Hasta que la plata nos separe: Temporada 1,No,19-10-2022,"15,21,00,000"
Mr. Queen // 철인왕후,No,,"15,15,00,000"
Manifest: Season 1,No,10-06-2021,"15,14,00,000"
Alchemy of Souls: Part 2 // 환혼: 파트 2,Yes,10-12-2022,"15,02,00,000"
PAW Patrol: Season 6,No,,"14,93,00,000"
The Good Bad Mother: Limited Series // 나쁜엄마: 리미티드 시리즈,Yes,26-04-2023,"14,86,00,000"
The Recruit: Season 1,Yes,16-12-2022,"14,69,00,000"
Bloodhounds: Season 1 // 사냥개들: 시즌 1,Yes,09-06-2023,"14,67,00,000"
Glass Onion: A Knives Out Mystery,Yes,23-12-2022,"14,29,00,000"
Wrong Side of the Tracks: Season 2 // Entrevías: Temporada 2,No,01-03-2023,"14,01,00,000"
Black Mirror: Season 6,Yes,15-06-2023,"13,99,00,000"
Triptych: Season 1 // Tríada: Temporada 1,Yes,22-02-2023,"13,93,00,000"
The Walking Dead: Season 11,No,,"13,68,00,000"
Bridgerton: Season 1,Yes,25-12-2020,"13,66,00,000"
CoComelon: Season 1,No,31-05-2020,"13,62,00,000"
Extraordinary Attorney Woo: Season 1 // 이상한 변호사 우영우: 시즌 1,Yes,29-06-2022,"13,59,00,000"
The Snow Girl: Season 1 // La chica de nieve: Temporada 1,Yes,27-01-2023,"13,48,00,000"
Stranger Things 4,Yes,27-05-2022,"13,36,00,000"
The Marked Heart: Season 1 // Pálpito: Temporada 1,Yes,20-04-2022,"13,35,00,000"
Bridgerton: Season 2,Yes,25-03-2022,"13,34,00,000"
Little Angel: Volume 1,Yes,,"13,21,00,000"
PAW Patrol: Season 5,No,,"13,07,00,000"
Pasión de Gavilanes: Season 1,No,,"12,92,00,000"
Suits (2011): Season 1,Yes,,"12,91,00,000"
Sex/Life: Season 1,Yes,25-06-2021,"12,64,00,000"
We Have a Ghost,Yes,24-02-2023,"12,44,00,000"
You: Season 1,Yes,26-12-2018,"12,35,00,000"
Business Proposal: Season 1 // 사내맞선: 시즌 1,Yes,28-02-2022,"12,07,00,000"
The Pale Blue Eye,Yes,06-01-2023,"12,05,00,000"
Crash Landing on You: Season 1 // 사랑의 불시착: 시즌 1,Yes,14-12-2019,"12,03,00,000"
AKA,Yes,28-04-2023,"12,00,00,000"
MH370: The Plane That Disappeared: Limited Series,Yes,08-03-2023,"11,89,00,000"
Queenmaker: Season 1 // 퀸메이커: 시즌 1,Yes,14-04-2023,"11,86,00,000"
Vikings: Valhalla: Season 1,Yes,25-02-2022,"11,65,00,000"
Breaking Bad: Season 2,No,,"11,62,00,000"
Muted: Limited Series // El silencio: Miniserie,Yes,19-05-2023,"11,58,00,000"
Lockwood & Co.: Season 1,Yes,27-01-2023,"11,36,00,000"
You: Season 3,Yes,15-10-2021,"10,72,00,000"
Breaking Bad: Season 5,No,,"10,70,00,000"
Suits (2011): Season 2,Yes,,"10,66,00,000"
Murdaugh Murders: A Southern Scandal: Season 1,Yes,22-02-2023,"10,46,00,000"
Welcome to Eden: Season 2 // Bienvenidos a Edén: Temporada 2,Yes,21-04-2023,"10,45,00,000"
Breaking Bad: Season 3,No,,"10,43,00,000"
Lucifer: Season 3,No,03-10-2017,"10,28,00,000"
CoComelon: Season 2,No,17-12-2020,"10,23,00,000"
Café con aroma de mujer: Season 1,No,29-12-2021,"10,17,00,000"
Love to Hate You: Season 1 // 연애대전: 시즌 1,Yes,10-02-2023,"9,99,00,000"
The Blacklist: Season 1,No,,"9,99,00,000"
Shadow and Bone: Season 1,Yes,23-04-2021,"9,95,00,000"
"The Unbroken Voice: Season 1 // Canto para no llorar, Arelys Henao: Temporada 1",No,23-11-2022,"9,90,00,000"
Designated Survivor: Season 1,Yes,22-09-2016,"9,85,00,000"
The Interest of Love: Limited Series // 사랑의 이해: 리미티드 시리즈,Yes,21-12-2022,"9,78,00,000"
Wrong Side of the Tracks: Season 1 // Entrevías: Temporada 1,No,20-05-2022,"9,76,00,000"
Minions: The Rise of Gru,No,,"9,64,00,000"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc // 鬼滅の刃: 竈門炭治郎 立志編",No,,"9,58,00,000"
The Blacklist: Season 9,No,,"9,57,00,000"
That '90s Show: Part 1,Yes,19-01-2023,"9,51,00,000"
You: Season 2,Yes,26-12-2019,"9,50,00,000"
La Reina del Sur: Season 1,No,05-09-2011,"9,47,00,000"
All of Us Are Dead: Season 1 // 지금 우리 학교는: 시즌 1,Yes,28-01-2022,"9,46,00,000"
New Amsterdam (2018): Season 2,No,,"9,44,00,000"
Black Knight: Season 1 // 택배기사: 시즌 1,Yes,12-05-2023,"9,43,00,000"
Breaking Bad: Season 4,No,,"9,43,00,000"
Obsession: Limited Series,Yes,13-04-2023,"9,42,00,000"
Who Were We Running From?: Limited Series // Biz Kimden Kaçıyorduk Anne?: Mini Dizi,Yes,24-03-2023,"9,29,00,000"
La Reina del Sur: Season 2,No,16-08-2019,"9,25,00,000"
Hunger // คนหิว เกมกระหาย,Yes,08-04-2023,"9,23,00,000"
Alice in Borderland: Season 1 // 今際の国のアリス: シーズン1,Yes,10-12-2020,"9,22,00,000"
CoComelon: Season 3,No,31-05-2021,"9,14,00,000"
Firefly Lane: Season 1,Yes,03-02-2021,"9,12,00,000"
Women at War: Limited Series // Les Combattantes: Mini-série,Yes,27-10-2022,"9,08,00,000"
Formula 1: Drive to Survive: Season 5,Yes,24-02-2023,"9,02,00,000"
Sweet Tooth: Season 1,Yes,04-06-2021,"8,90,00,000"
S.W.A.T. (2017): Season 1,No,,"8,86,00,000"
Murder Mystery,Yes,14-06-2019,"8,79,00,000"
True Beauty // 여신강림,No,,"8,73,00,000"
Squid Game: Season 1 // 오징어 게임: 시즌 1,Yes,17-09-2021,"8,72,00,000"
Little Angel: Volume 2,Yes,,"8,62,00,000"
Manifest: Season 2,No,10-06-2021,"8,62,00,000"
Extraction,Yes,24-04-2020,"8,61,00,000"
Lucifer: Season 2,No,31-08-2017,"8,61,00,000"
Lady Voyeur: Limited Series // Olhar Indiscreto: Minissérie,Yes,31-12-2022,"8,60,00,000"
Woman of the Dead: Season 1 // Totenfrau: Season 1,Yes,15-11-2022,"8,54,00,000"
The Law According to Lidia Poët: Season 1 // La legge di Lidia Poët: Stagione 1,Yes,15-02-2023,"8,50,00,000"
Florida Man: Limited Series,Yes,13-04-2023,"8,46,00,000"
Lucifer: Season 1,No,23-07-2017,"8,44,00,000"
Shahmaran: Season 1 // Şahmaran: Season 1,Yes,20-01-2023,"8,36,00,000"
Breaking Bad: Season 1,No,,"8,32,00,000"
The Last Kingdom: Seven Kings Must Die,Yes,14-04-2023,"8,32,00,000"
Selling Sunset: Season 6,Yes,19-05-2023,"8,28,00,000"
CoComelon: Season 4,No,14-10-2021,"8,25,00,000"
Suits (2011): Season 3,Yes,,"8,25,00,000"
Sam & Cat: Season 1,No,,"8,24,00,000"
Gilmore Girls: Season 1,Yes,,"8,21,00,000"
Sonic Prime: Season 1,Yes,15-12-2022,"8,21,00,000"
Peppa Pig: Season 1,No,,"8,18,00,000"
Manifest: Season 3,No,21-08-2021,"8,17,00,000"
Roald Dahl's Matilda The Musical,Yes,25-12-2022,"8,10,00,000"
Better Call Saul: Season 6,No,19-04-2022,"8,08,00,000"
Sing (2016),No,,"8,05,00,000"
Hajime no Ippo: The Fighting!: Season 1 // はじめの一歩: シーズン1,No,,"8,03,00,000"
All Quiet on the Western Front // Im Westen nichts Neues,Yes,28-10-2022,"8,00,00,000"
Sky High: The Series: Season 1 // Hasta el cielo: La serie: Season 1,Yes,17-03-2023,"7,97,00,000"
Alpha Males: Season 1 // Machos alfa: Season 1,No,30-12-2022,"7,82,00,000"
Record of Ragnarok: Season 2 // 終末のワルキューレ: シーズン２,No,26-01-2023,"7,82,00,000"
Chupa,Yes,07-04-2023,"7,78,00,000"
Stranger Things,Yes,15-07-2016,"7,78,00,000"
Paw Patrol: The Movie,No,,"7,72,00,000"
Sing 2,No,,"7,66,00,000"
The Crown: Season 5,Yes,09-11-2022,"7,63,00,000"
Next in Fashion: Season 2,Yes,03-03-2023,"7,57,00,000"
Gilmore Girls: Season 2,Yes,,"7,52,00,000"
Lucifer: Season 5,No,21-08-2020,"7,52,00,000"
The Boss Baby,No,,"7,51,00,000"
Treason: Limited Series,Yes,26-12-2022,"7,43,00,000"
Trolls,No,,"7,34,00,000"
Blood Ties: Season 1 // Las Villamizar: Season 1,No,,"7,33,00,000"
Money Heist: Part 1 // La casa de papel: Parte 1,Yes,01-07-2017,"7,31,00,000"
Rough Diamonds: Season 1,Yes,21-04-2023,"7,28,00,000"
Vincenzo: Season 1 // 빈센조: 시즌 1,Yes,20-02-2021,"7,28,00,000"
The Walking Dead: Season 10,No,,"7,22,00,000"
The Witcher: Season 1,Yes,20-12-2019,"7,22,00,000"
Gabby's Dollhouse: Season 1,Yes,05-01-2021,"7,16,00,000"
The Walking Dead: Season 3,No,,"7,16,00,000"
Carrossel,No,,"7,13,00,000"
Gilmore Girls: Season 3,Yes,,"7,13,00,000"
Red Rose: Season 1,Yes,15-02-2023,"7,11,00,000"
Fauda: Season 4 // פאודה: עונה 4,Yes,20-01-2023,"7,10,00,000"
New Amsterdam (2018): Season 3,No,,"7,06,00,000"
Gilmore Girls: Season 5,Yes,,"6,99,00,000"
Gilmore Girls: Season 4,Yes,,"6,98,00,000"
The Blacklist: Season 2,No,,"6,97,00,000"
"Divorce Attorney Shin: Limited Series // 신성한, 이혼: 리미티드 시리즈",Yes,04-03-2023,"6,95,00,000"
Stranger Things 2,Yes,27-10-2017,"6,92,00,000"
Hometown Cha-Cha-Cha: Season 1 // 갯마을 차차차: 시즌 1,Yes,28-08-2021,"6,90,00,000"
Love Is Blind: Season 3,Yes,19-10-2022,"6,89,00,000"
Kill Boksoon // 길복순,Yes,31-03-2023,"6,85,00,000"
The Thundermans: Season 1,No,,"6,85,00,000"
The Flash (2014): Season 1,No,,"6,82,00,000"
Red Notice,Yes,12-11-2021,"6,81,00,000"
Henry Danger: Season 1,No,,"6,78,00,000"
The Queen of Flow: Season 2 // La reina del flow: Temporada 2,No,17-11-2021,"6,78,00,000"
The Walking Dead: Season 2,No,,"6,77,00,000"
Viking Wolf // Vikingulven,Yes,03-02-2023,"6,75,00,000"
Designated Survivor: Season 2,Yes,28-09-2017,"6,72,00,000"
Bebefinn: Season 1,Yes,,"6,71,00,000"
Hotel Transylvania 2,No,,"6,70,00,000"
Stranger Things 3,Yes,04-07-2019,"6,70,00,000"
Masha and the Bear: Season 1,No,,"6,67,00,000"
Outlander: Season 1,No,31-03-2016,"6,65,00,000"
Grizzy and the Lemmings: Season 2,No,,"6,60,00,000"
Single’s Inferno: Season 2 // 솔로지옥: 시즌 2,Yes,13-12-2022,"6,59,00,000"
The Witcher: Blood Origin: Limited Series,Yes,25-12-2022,"6,53,00,000"
The Nurse: Limited Series // Sygeplejersken: Miniserie,Yes,27-04-2023,"6,52,00,000"
The Watcher: Season 1,Yes,13-10-2022,"6,44,00,000"
Jumanji: The Next Level,No,,"6,43,00,000"
Suits (2011): Season 4,Yes,,"6,42,00,000"
Gilmore Girls: Season 6,Yes,,"6,39,00,000"
The Tailor: Season 1 // Terzi: 1. Sezon,Yes,02-05-2023,"6,39,00,000"
All American: Season 5,No,,"6,37,00,000"
Peppa Pig: Season 2,No,,"6,37,00,000"
DAHMER: Monster: The Jeffrey Dahmer Story,Yes,21-09-2022,"6,35,00,000"
The Blacklist: Season 3,No,,"6,35,00,000"
Narvik,No,23-01-2023,"6,31,00,000"
Home (2015),No,,"6,28,00,000"
The Sea Beast,Yes,08-07-2022,"6,27,00,000"
The Walking Dead: Season 4,No,,"6,23,00,000"
Harry & Meghan: Limited Series,Yes,08-12-2022,"6,20,00,000"
The Walking Dead: Season 5,No,,"6,20,00,000"
My Dad the Bounty Hunter: Season 1,Yes,09-02-2023,"6,18,00,000"
Dog Gone,Yes,13-01-2023,"6,16,00,000"
Maid: Limited Series,Yes,01-10-2021,"6,15,00,000"
Pasión de Gavilanes: Season 2,No,,"6,15,00,000"
A Man Called Otto,No,,"6,13,00,000"
Peaky Blinders: Season 1,No,30-09-2014,"6,11,00,000"
Victorious: Season 1,No,,"6,11,00,000"
Never Have I Ever: Season 1,Yes,27-04-2020,"6,10,00,000"
THE DAYS: Limited Series,No,01-06-2023,"6,08,00,000"
Eva Lasting: Season 1 // La primera vez: Temporada 1,Yes,15-02-2023,"6,06,00,000"
Unseen: Season 1,Yes,29-03-2023,"6,01,00,000"
Narcos: Season 1,Yes,28-08-2015,"5,99,00,000"
The Walking Dead: Season 6,No,,"5,98,00,000"
MADOFF: The Monster of Wall Street: Limited Series,Yes,04-01-2023,"5,96,00,000"
The Witcher: Season 2,Yes,17-12-2021,"5,93,00,000"
Sky Rojo: Season 3,Yes,13-01-2023,"5,85,00,000"
Young Lady and Gentleman // 신사와 아가씨,No,,"5,85,00,000"
Miraculous: Tales of Ladybug & Cat Noir: Season 1,No,,"5,83,00,000"
Never Have I Ever: Season 3,Yes,12-08-2022,"5,83,00,000"
The Gray Man,Yes,22-07-2022,"5,83,00,000"
S.W.A.T. (2017): Season 2,No,,"5,79,00,000"
ONE PIECE: East Blue // ワンピース: イーストブルー編,No,,"5,78,00,000"
Brooklyn Nine-Nine: Season 1,No,,"5,75,00,000"
New Amsterdam (2018): Season 4,No,,"5,75,00,000"
Workin' Moms: Season 7,No,26-04-2023,"5,75,00,000"
Barbie Life in the Dreamhouse: Season 1,Yes,,"5,74,00,000"
The Walking Dead: Season 7,No,,"5,74,00,000"
The Blacklist: Season 8,No,,"5,70,00,000"
The Sandman: Season 1,Yes,05-08-2022,"5,67,00,000"
True Spirit,Yes,03-02-2023,"5,67,00,000"
CoComelon: Season 5,No,31-03-2022,"5,66,00,000"
Gilmore Girls: Season 7,Yes,,"5,65,00,000"
The Strays,Yes,22-02-2023,"5,65,00,000"
Suits (2011): Season 5,Yes,,"5,64,00,000"
The Croods,No,,"5,64,00,000"
Grizzy and the Lemmings: Season 1,No,,"5,63,00,000"
The Empress: Season 1 // Die Kaiserin: Staffel 1,Yes,29-09-2022,"5,60,00,000"
Matilda (1996),No,,"5,57,00,000"
Outlast: Season 1,Yes,10-03-2023,"5,55,00,000"
The Good Doctor: Season 1,No,,"5,55,00,000"
CoComelon: Season 7,No,14-02-2023,"5,52,00,000"
Jane The Virgin: Season 1,Yes,,"5,52,00,000"
The Blacklist: Season 4,No,,"5,52,00,000"
VINLAND SAGA: Season 2 // ヴィンランド・サガ: シーズン2,No,,"5,51,00,000"
The Queen of Flow: Season 1 // La reina del flow: Temporada 1,No,09-11-2018,"5,50,00,000"
Brooklyn Nine-Nine: Season 2,No,,"5,48,00,000"
Carinha de Anjo: Season 1,No,,"5,44,00,000"
"Surviving Escobar - Alias JJ: Season 1 // Sobreviviendo a Escobar, Alias JJ: Temporada 1",No,31-07-2017,"5,44,00,000"
